Registry,Repository,Tag,Id,Scan Time,Pass,Type,Distro,Hostname,Layer,CVE ID,Compliance ID,Type.1,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Fix Date,Grace Days,Vulnerability Tags,Description,Cause,Published,Custom Labels,Vulnerability Link
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,CVE-2023-24538,411,binary,critical,go,,1.20.2,,9.8,"fixed in 1.20.3, 1.19.8",33:04.0,,,"Templates do not properly consider backticks (`) as Javascript string delimiters, and do not escape them as expected. Backticks are used, since ES6, for JS template literals. If a template contains a Go template action within a Javascript template literal, the contents of the action can be used to terminate the literal, injecting arbitrary Javascript code into the Go template. As ES6 template literals are rather complex, and themselves can do string interpolation, the decision was made to simply disallow Go template actions from being used inside of them (e.g. \""var a = {{.}}\""), since there is no obviously safe way to allow this behavior. This takes the same approach as github.com/google/safehtml. With fix, Template.Parse returns an Error when it encounters templates like this, with an ErrorCode of value 12. This ErrorCode is currently unexported, but will be exported in the release of Go 1.21. Users who rely on the previous behavior can re-enable it using the GODEBUG flag jstmpllitinterp=1, with the caveat that backticks will now be escaped. This should be used with caution.",,15:00.0,,https://nvd.nist.gov/vuln/detail/CVE-2023-24538
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,,425,twistlock,high,,,,,0.0,,,,,Private keys stored in image,"Found: /opt/jupyter/venv/lib/python3.8/site-packages/tornado/test/test.key, /usr/local/go/src/crypto/tls/testdata/example-key.pem",,,
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,CVE-2023-24536,411,binary,high,go,,1.20.2,,7.5,"fixed in 1.20.3, 1.19.8",33:04.0,,,"Multipart form parsing can consume large amounts of CPU and memory when processing form inputs containing very large numbers of parts. This stems from several causes: 1. mime/multipart.Reader.ReadForm limits the total memory a parsed multipart form can consume. ReadForm can undercount the amount of memory consumed, leading it to accept larger inputs than intended. 2. Limiting total memory does not account for increased pressure on the garbage collector from large numbers of small allocations in forms with many parts. 3. ReadForm can allocate a large number of short-lived buffers, further increasing pressure on the garbage collector. The combination of these factors can permit an attacker to cause an program that parses multipart forms to consume large amounts of CPU and memory, potentially resulting in a denial of service. This affects programs that use mime/multipart.Reader.ReadForm, as well as form parsing in the net/http package with the Request methods FormFile, FormValue, ParseMultipartForm, and PostFormValue. With fix, ReadForm now does a better job of estimating the memory consumption of parsed forms, and performs many fewer short-lived allocations. In addition, the fixed mime/multipart.Reader imposes the following limits on the size of parsed forms: 1. Forms parsed with ReadForm may contain no more than 1000 parts. This limit may be adjusted with the environment variabl",,15:00.0,,https://nvd.nist.gov/vuln/detail/CVE-2023-24536
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,PRISMA-2023-0024,410,python,high,aiohttp,,3.8.4,Apache 2,7.5,open,,,,The aiohttp package of all versions is vulnerable to DoS. The server accepts any content-length field provided by the user and keeps the memory allocated as long as the connection is not dropped by the user. An attacker could open multiple high content-length connections thus depleting system memory.,,41:41.0,,https://github.com/aio-libs/aiohttp/issues/7208
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,CVE-2023-24537,411,binary,high,go,,1.20.2,,7.5,"fixed in 1.20.3, 1.19.8",42:14.0,,,Calling any of the Parse functions on Go source code which contains //line directives with very large line numbers can cause an infinite loop due to integer overflow.,,15:00.0,,https://nvd.nist.gov/vuln/detail/CVE-2023-24537
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,PRISMA-2022-0168,410,python,high,pip,,22.0.4,MIT,7.8,open,,,,"An issue was discovered in pip (all versions) because it installs the version with the highest version number, even if the user had intended to obtain a private package from a private index. This only affects use of the --extra-index-url option, and exploitation requires that the package does not already exist in the public index (and thus the attacker can put the package there with an arbitrary version number). NOTE: it has been reported that this is intended functionality and the user is responsible for using --extra-index-url securely. This vulnerability was first assigned with CVE-2018-20225, but it is still under dispute. However, this vulnerability still poses a threat when using the --extra-index-url.",,48:06.0,,https://github.com/pypa/pip/issues/8606
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,CVE-2023-24329,411,binary,high,python,,3.8.16,,7.5,fixed in 3.11,40:47.0,,,An issue in the urllib.parse component of Python before v3.11 allows attackers to bypass blocklisting methods by supplying a URL that starts with blank characters.,,15:00.0,,https://nvd.nist.gov/vuln/detail/CVE-2023-24329
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,CVE-2023-24534,411,binary,high,go,,1.20.2,,7.5,"fixed in 1.20.3, 1.19.8",34:53.0,,,"HTTP and MIME header parsing can allocate large amounts of memory, even when parsing small inputs, potentially leading to a denial of service. Certain unusual patterns of input data can cause the common function used to parse HTTP and MIME headers to allocate substantially more memory than required to hold the parsed headers. An attacker can exploit this behavior to cause an HTTP server to allocate large amounts of memory from a small request, potentially leading to memory exhaustion and a denial of service. With fix, header parsing now correctly allocates only the memory required to hold parsed headers.",,15:00.0,,https://nvd.nist.gov/vuln/detail/CVE-2023-24534
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,CVE-2023-28617,46,OS,important,emacs-filesystem,,26.1-7.el8,GPLv3+ and CC0-1.0,7.8,affected,,,,org-babel-execute:latex in ob-latex.el in Org Mode through 9.6.1 for GNU Emacs allows attackers to execute arbitrary commands via a file name or directory name that contains shell metacharacters.,,15:00.0,,https://access.redhat.com/security/cve/CVE-2023-28617
cazw0cuaadsepacr02.azurecr.us,tempimage,latest,sha256:4959cb63a1fc4aef928558fc403a710232d5450bcb2c6065f7581d67ce78180f,50:52.7,True,ciImage,redhat-RHEL8,runner-mfzse5l-project-359-concurrent-0mp55g,,CVE-2023-24329,46,OS,important,platform-python,,3.6.8-48.el8_7.1,Python,7.5,affected,,,,An issue in the urllib.parse component of Python before v3.11 allows attackers to bypass blocklisting methods by supplying a URL that starts with blank characters.,,15:00.0,,https://access.redhat.com/security/cve/CVE-2023-24329
